File,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_Return=OK,READ_0,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_0,UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_Return=OK,UPDATE_0,Workload,Write_Concern,DB_Type,Read_Preference,Threads,Target,Minutes,READ_1000,UPDATE_1000
8_writeConcern=acknowledged_result_mongodb_workloada_nearest_20241106_193136.json,1153,867.302689,2,12,1.040763,2,12,1.040763,510,4360.790196,1044,110616,510,4360.790196,8,469.000000,,3743,469.000000,490,4991.348980,1014,105595,490,4991.348980,workloada,acknowledged,mongodb,nearest,8,10000,0.100000,,
8_writeConcern=journaled_result_mongodb_workloada_primary_20241106_194222.json,1447,691.085003,2,13,0.898411,2,13,0.898411,500,6623.228000,1079,192409,500,6623.228000,8,630.375000,,5036,630.375000,500,5748.636000,973,201340,500,5748.636000,workloada,journaled,mongodb,primary,8,10000,0.500000,,
8_writeConcern=acknowledged_result_mongodb_workloadb_secondary_20241106_212505.json,1552,644.329897,2,14,0.902062,2,14,0.902062,953,5254.484785,1001,139457,953,5254.484785,8,696.500000,,5565,696.500000,47,7503.617021,1068,156547,47,7503.617021,workloadb,acknowledged,mongodb,secondary,8,10000,0.500000,,
8_writeConcern=acknowledged_result_mongodb_workloadb_secondary_20241106_212231.json,1721,581.057525,2,20,1.162115,2,20,1.162115,942,5448.937367,802,170078,943,5443.159067,8,554.250000,,4423,554.250000,57,7937.631579,1187,186260,57,7937.631579,workloadb,acknowledged,mongodb,secondary,8,1000,0.500000,,
4_writeConcern=acknowledged_result_mongodb_workloada_secondary_20241106_191736.json,1498,667.556742,2,11,0.734312,2,11,0.734312,456,2893.048246,839,15552,456,2893.048246,4,1159.250000,1.000000,4627,1159.250000,544,3422.801471,760,101521,544,3422.801471,workloada,acknowledged,mongodb,secondary,4,5000,0.300000,,
4_writeConcern=journaled_result_mongodb_workloada_primary_20241106_193806.json,1787,559.597090,2,12,0.671517,2,12,0.671517,498,4396.056225,863,141494,498,4396.056225,4,931.250000,,3714,931.250000,502,4027.561753,809,141850,502,4027.561753,workloada,journaled,mongodb,primary,4,5000,0.500000,,
8_writeConcern=majority_result_mongodb_workloadb_nearest_20241106_223706.json,1598,625.782228,2,12,0.750939,2,12,0.750939,943,6532.021209,908,222724,946,6521.905720,8,1473.250000,,11778,1473.250000,54,8634.740741,1530,216897,54,8634.740741,workloadb,majority,mongodb,nearest,8,10000,0.500000,,
2_writeConcern=acknowledged_result_mongodb_workloadb_secondary_20241106_211703.json,2041,489.955904,2,13,0.636943,2,13,0.636943,937,2591.569904,621,129339,944,3049.757143,2,3191.000000,6.000000,6376,3191.000000,56,5377.392857,930,135255,56,6827.600000,workloadb,acknowledged,mongodb,secondary,2,5000,0.300000,1634.403279,1751.875000
4_writeConcern=majority_result_mongodb_workloadb_nearest_20241106_223339.json,1879,532.197978,2,12,0.638638,2,12,0.638638,942,3758.921444,683,171616,942,3758.921444,4,929.750000,1.000000,3711,929.750000,58,6074.431034,962,167004,58,6074.431034,workloadb,majority,mongodb,nearest,4,10000,0.500000,,
2_writeConcern=majority_result_mongodb_workloada_secondary_20241106_201532.json,1598,625.782228,2,13,0.813517,2,13,0.813517,475,1806.044211,686,38847,478,1798.471698,2,1251.000000,9.000000,2493,1251.000000,520,2012.269231,699,112723,522,2004.559387,workloada,majority,mongodb,secondary,2,5000,0.500000,,
